id,date_key,item_id,rep_id,checked_at
c2160480-6862-4273-bee0-ce421d69aed3,2026-06-22,lm-1,c6632466-befd-416f-abea-f0cfaa311ae1,1782141830509
a5a23121-b460-435c-8d34-0f33421767c7,2026-06-22,lm-2,c6632466-befd-416f-abea-f0cfaa311ae1,1782141834589
e3ae0b02-08d1-4a76-862f-495501f16943,2026-06-22,lm-2,ffce980a-6090-482c-a11d-b7f969f696d7,1782141855384
287bca61-4e73-46d0-a0c9-a992ef7b5797,2026-06-22,lm-1,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1782141909032
a77f6d82-2b7c-4ed6-be82-7885fa92dfb9,2026-06-22,lm-2,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1782141910219
605a4990-3475-48be-bad4-080885136ec5,2026-06-22,ps-1,c6632466-befd-416f-abea-f0cfaa311ae1,1782145293510
1b46dbcc-d50f-4b90-873c-3e45f21f3767,2026-06-22,ps-1,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1782159263864
544acc2f-f9c4-40e7-8c80-386f8384de36,2026-06-22,ps-2,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1782159266094
4007d61b-fe47-4156-bae5-e34932d93508,2026-06-22,ps-1,ffce980a-6090-482c-a11d-b7f969f696d7,1782159671573
a4c9e29e-9cdf-482c-8b01-ad881f423026,2026-06-22,ps-2,ffce980a-6090-482c-a11d-b7f969f696d7,1782159672132
57f71ec6-b5af-44be-916a-0b3e87e0479a,2026-06-22,pm-1,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1782161187461
1e4d08ac-27c4-4e25-937a-0b3b81923583,2026-06-22,pm-1,ffce980a-6090-482c-a11d-b7f969f696d7,1782161789541
b12516a9-881b-47fa-b849-5259049942cc,2026-06-22,pm-2,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1782161797521
15c7217d-43b2-460d-a5ce-fa3eb131dd12,2026-06-22,pm-5,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1782161825412
9b7af773-b6f1-4eaf-be41-17d4b27e8066,2026-06-22,pm-6,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1782161829396
8b889ecb-6cb0-4caa-a013-4669feb9c473,2026-06-22,pm-4,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1782161881422
ddf7f638-b3ce-4213-aa95-2cbe3cdc9a44,2026-06-22,pm-4,ffce980a-6090-482c-a11d-b7f969f696d7,1782161897984
d884040b-0b0a-4919-a6df-495f92bf2c8a,2026-06-22,pm-2,ffce980a-6090-482c-a11d-b7f969f696d7,1782162006731
0b8edb4f-90df-4485-be9d-f3632a4b20c0,2026-06-22,pm-5,ffce980a-6090-482c-a11d-b7f969f696d7,1782162009555
e0e32c3e-5029-43c0-99e7-9c3cc01b6433,2026-06-22,ps-2,c6632466-befd-416f-abea-f0cfaa311ae1,1782162142287
bc419efc-e22c-4d2f-a4b2-15b9c0a3d8aa,2026-06-22,pm-3,ffce980a-6090-482c-a11d-b7f969f696d7,1782162517143
3ec86973-f631-498a-b9b9-ab50bfef29f8,2026-06-22,pm-6,ffce980a-6090-482c-a11d-b7f969f696d7,1782162519180
a4a5fcfc-0f59-4184-8654-d0ed1e6c3117,2026-06-23,lm-1,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1782224641232
edd1f47c-be8d-417c-b7d8-6ba4bd5d315e,2026-06-23,lm-2,ffce980a-6090-482c-a11d-b7f969f696d7,1782235992238
9887ed97-32f1-4387-9e59-2ae2bb03442f,2026-06-23,lm-1,ffce980a-6090-482c-a11d-b7f969f696d7,1782235992522
4782b10c-acd4-4d70-8162-139144e89fe0,2026-06-23,ps-1,ffce980a-6090-482c-a11d-b7f969f696d7,1782244981478
de1d819c-517e-4dec-9b6c-ea9fd3c9accb,2026-06-23,ps-2,ffce980a-6090-482c-a11d-b7f969f696d7,1782249882848
7b8579d0-9fae-4453-9ce1-4d4ec59e540d,2026-06-23,ps-2,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1782250039681
f288d0e8-b035-4661-a976-24897080e7fe,2026-06-23,pm-1,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1782250047152
e1fd467c-2849-4e9b-a5bd-b31bb695b0af,2026-06-23,pm-2,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1782250047604
40de4ff6-20d4-4234-a684-21bf12a0acf3,2026-06-23,pm-3,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1782250049238
20458921-f32a-472b-ad96-0fabc0792af6,2026-06-23,pm-4,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1782250050008
9915aa80-a170-447c-ba82-6e08118ef6d0,2026-06-23,pm-5,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1782250051243
e9728f78-a154-4256-b2f0-8b64033cef0e,2026-06-23,pm-6,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1782250053158
a227ffdb-7903-46fb-ab7c-a89258d7be94,2026-06-23,pm-1,ffce980a-6090-482c-a11d-b7f969f696d7,1782250206547
b664dd24-3702-4a6c-a8a0-77c7626116a2,2026-06-23,pm-2,ffce980a-6090-482c-a11d-b7f969f696d7,1782250210930
405d1100-0066-4d77-bf26-15a447444310,2026-06-23,pm-4,ffce980a-6090-482c-a11d-b7f969f696d7,1782250215790
3fadb71b-05c0-4455-9345-f56b51c11575,2026-06-23,pm-6,ffce980a-6090-482c-a11d-b7f969f696d7,1782250511682
c1f0abcf-64d7-4f48-b616-cc839c2dc8a9,2026-06-23,lm-1,c6632466-befd-416f-abea-f0cfaa311ae1,1782252505223
8b5ff102-4618-478f-90e7-eb57f45b7da0,2026-06-23,lm-2,c6632466-befd-416f-abea-f0cfaa311ae1,1782252506409
f0549003-e3ae-4e15-9113-437ee44761d5,2026-06-23,pm-1,c6632466-befd-416f-abea-f0cfaa311ae1,1782254262416
9ef39a4d-568c-49fc-893e-664b244677ab,2026-06-23,pm-2,c6632466-befd-416f-abea-f0cfaa311ae1,1782254263335
ef076f9f-483d-48c8-8d42-b0c2ebff755b,2026-06-23,pm-3,c6632466-befd-416f-abea-f0cfaa311ae1,1782254284557
bd727966-179b-44f7-864e-5cf8e75641f8,2026-06-23,pm-4,c6632466-befd-416f-abea-f0cfaa311ae1,1782254285256
0653e6fc-34b5-4be9-aeff-d0755e6eabfb,2026-06-23,pm-5,c6632466-befd-416f-abea-f0cfaa311ae1,1782254286437
fcf9fdef-3ae2-4d46-a6ca-6749b6de21df,2026-06-23,pm-6,c6632466-befd-416f-abea-f0cfaa311ae1,1782254456137
07d328f8-541a-40ec-a944-94989fbb5821,2026-06-23,pm-5,ffce980a-6090-482c-a11d-b7f969f696d7,1782257587084
10417c4d-93b4-41fd-ab46-1d2498efdfa7,2026-06-23,pm-3,ffce980a-6090-482c-a11d-b7f969f696d7,1782257588019
374411bf-cefe-441a-bc3e-3fa363578880,2026-06-24,lm-1,ffce980a-6090-482c-a11d-b7f969f696d7,1782311364768
a2a58379-2a28-4938-ae93-9e86dbe3d04a,2026-06-24,lm-2,ffce980a-6090-482c-a11d-b7f969f696d7,1782311365087
459f6359-8be8-4b22-be6e-96f31e150f7b,2026-06-24,ps-1,ffce980a-6090-482c-a11d-b7f969f696d7,1782333897532
127bbd7c-d2f4-4f2c-b02a-54064d7e8fad,2026-06-24,ps-2,ffce980a-6090-482c-a11d-b7f969f696d7,1782333898108
93730892-faaa-46d3-9ce0-4ad31c3897ed,2026-06-24,pm-1,ffce980a-6090-482c-a11d-b7f969f696d7,1782333938476
64b5f2d2-5851-4456-9a82-317d63a421ca,2026-06-24,pm-4,ffce980a-6090-482c-a11d-b7f969f696d7,1782334847737
55d0a90f-9be5-41c5-9cdb-946d48373665,2026-06-24,pm-2,ffce980a-6090-482c-a11d-b7f969f696d7,1782334877010
da5af1ad-52bc-479e-a86b-f78bcefda1f2,2026-06-24,lm-1,c6632466-befd-416f-abea-f0cfaa311ae1,1782336237169
5230e5d7-5f05-4c9b-8e29-4a9db743c104,2026-06-24,lm-2,c6632466-befd-416f-abea-f0cfaa311ae1,1782336237970
bd819b4e-1651-4717-bfe2-7eeb11ca9d8b,2026-06-24,ps-1,c6632466-befd-416f-abea-f0cfaa311ae1,1782336242739
81cf185f-110c-4cf5-9acb-aa7d0449cb90,2026-06-24,ps-2,c6632466-befd-416f-abea-f0cfaa311ae1,1782336243293
2688e324-2357-4dcc-b947-e47a5a3790b2,2026-06-24,pm-6,ffce980a-6090-482c-a11d-b7f969f696d7,1782336496429
95db8af9-9077-424f-9a4f-3b90b68ca3ad,2026-06-24,lm-1,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1782336630780
657628d7-61bd-414c-a1aa-e07b316584c3,2026-06-24,lm-2,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1782336631221
cfb4ee6b-eacd-4b34-9380-089c52d507db,2026-06-24,ps-1,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1782336632028
2177694b-faa6-47c6-8185-04687fc0fcd5,2026-06-24,ps-2,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1782336633462
19ffeaa0-9122-4842-9ef3-d9291c0bf20f,2026-06-24,pm-1,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1782336819673
c77bcf8a-f577-477e-b80c-90572292f292,2026-06-24,pm-2,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1782336821351
dfd7401d-4877-4d81-80ad-a12ac4f9c28d,2026-06-24,pm-4,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1782336823675
eba85ee7-954e-491b-88ab-a1afdd661587,2026-06-24,pm-5,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1782336825365
adb9711a-96b8-4893-89db-a2bfc777b373,2026-06-24,pm-6,4c31f12c-52dd-45e7-aa2b-6a0e78e70055,1782336827595
fa47af6a-bc02-4542-94b7-b775b28581e2,2026-06-24,pm-1,c6632466-befd-416f-abea-f0cfaa311ae1,1782336852499
42554762-9822-492c-81de-8b4a764ec7c0,2026-06-24,pm-2,c6632466-befd-416f-abea-f0cfaa311ae1,1782336853815
c50e3982-215d-49e1-bffc-6c05b5348a96,2026-06-24,pm-3,c6632466-befd-416f-abea-f0cfaa311ae1,1782336854769
e8693bc7-9d8f-4439-947b-6c70e533d4aa,2026-06-24,pm-4,c6632466-befd-416f-abea-f0cfaa311ae1,1782336856231
